query_id,query_text,rank,document_index,cosine_similarity,text_column_used,pmid,title
0,genes involved in inflammation,1,49,0.5509796738624573,combined_text,41516201,Multifaceted Roles of IL-26 in Physiological and Pathological Conditions.
0,genes involved in inflammation,2,176,0.5483160614967346,combined_text,41421479,Relation Between Gut Microbiome and Inflammatory Interleukins in Psoriasis Patients Compared to Healthy Controls: An Observational Study.
0,genes involved in inflammation,3,10,0.5463888049125671,combined_text,41613106,Fc-enhanced anti-CCR6 antibody elicits robust therapeutic effects across multiple autoimmune diseases.
0,genes involved in inflammation,4,127,0.5326911807060242,combined_text,41457766,Association Between Inflammatory Comorbidities and Hidradenitis Suppurativa Disease Characteristics: A Systematic Review and Meta-Analysis.
0,genes involved in inflammation,5,98,0.5283519625663757,combined_text,41468944,Dissecting the genetic relationship between severe mental disorders and autoimmune diseases.
1,immune signaling in skin disease,1,208,0.7057532668113708,combined_text,41408908,Cross Disease Single-Cell Meta-Analysis Deciphers Conserved Pan-Inflammatory Circuits and Divergent Endothelial Rewiring in Inflammatory Skin Pathogenesis.
1,immune signaling in skin disease,2,166,0.6988105177879333,combined_text,41428266,Neuroimmune Crosstalk in Psoriasis: Mechanisms and Therapeutic Implications.
1,immune signaling in skin disease,3,52,0.6925848722457886,combined_text,41504035,hAD-MSCs Ameliorated Psoriasis-Like Skin Inflammation by Inhibiting the Neutrophil Migration.
1,immune signaling in skin disease,4,131,0.6665058135986328,combined_text,41453833,Dermatology 2.0: Precision medicine for inflammatory skin diseases.
1,immune signaling in skin disease,5,112,0.6463055610656738,combined_text,41465136,From Skin to Brain: Key Genetic Mediators Associating Cutaneous Inflammation and Neurodegenerative Diseases.
2,biomarkers associated with cancer progression,1,182,0.5656294226646423,combined_text,41419137,"Cancer progression, recurrence, and infection outcomes in psoriasis patients with active or recent malignancy treated with biologic therapy: A cohort study showing comparable safety to conventional agents."
2,biomarkers associated with cancer progression,2,86,0.46919262409210205,combined_text,41473417,Exploration of Targets Potentially Linked to IL-17A Inhibitor Response in Psoriasis Using Machine Learning.
2,biomarkers associated with cancer progression,3,229,0.46221888065338135,combined_text,41399262,Increased Risk of Hematologic Malignancy in Moderate to Severe Psoriasis in Relation to the Use of Systemic Immunosuppressants: A Nationwide Population-Based Matched Cohort Study.
2,biomarkers associated with cancer progression,4,13,0.45818838477134705,combined_text,41607605,Analysis of Cardiovascular Risk Factors in Patients with Psoriasis: A Cross-Sectional Study.
2,biomarkers associated with cancer progression,5,168,0.45791274309158325,combined_text,41426252,To Explore the Mechanism of Cuproptosis in Psoriasis Based on Bioinformatics and in vivo Experiments.
3,protein expression changes in diseased tissue,1,96,0.5747275352478027,combined_text,41469479,The metabolomic profile of psoriatic arthritis patients unveils the unbalance of disease-related molecules and pathways.
3,protein expression changes in diseased tissue,2,211,0.551849901676178,combined_text,41408331,Human urine-derived stem cells alleviate psoriasis by suppressing JAK2/STAT3 pathway-mediated macrophage polarization.
3,protein expression changes in diseased tissue,3,25,0.5392354726791382,combined_text,41594593,Protein S-Palmitoylation as Potential Therapeutic Target for Dermatoses.
3,protein expression changes in diseased tissue,4,142,0.5281386971473694,combined_text,41445854,Unsaturated Fatty Acid Metabolic Reprogramming in Psoriatic Skin Drives Inflammation and Predicts Response to Biologic Therapy.
3,protein expression changes in diseased tissue,5,162,0.5237510204315186,combined_text,41432271,Potential Significance of CCL17 in Psoriatic Arthritis.
