rank,document_index,cosine_similarity,pmid,title,retrieved_text_preview,query
1,49,0.5509796738624573,41516201,Multifaceted Roles of IL-26 in Physiological and Pathological Conditions.,"Multifaceted Roles of IL-26 in Physiological and Pathological Conditions.. Cytokines are a diverse group of signaling proteins that regulate immune responses by mediating cell communication. Among them, interleukins (ILs) play essential roles in immune regulation, influencing diverse cell processes through tightly controlled signaling networks. Dysregulation of interleukin signaling could lead to ",genes involved in inflammation
2,176,0.5483159422874451,41421479,Relation Between Gut Microbiome and Inflammatory Interleukins in Psoriasis Patients Compared to Healthy Controls: An Observational Study.,"Relation Between Gut Microbiome and Inflammatory Interleukins in Psoriasis Patients Compared to Healthy Controls: An Observational Study.. The gut microbiota interacts with the immune system and plays an important role in many inflammatory diseases such as psoriasis, although the exact mechanisms in this disease are not yet well understood. To characterize differences in the microbiota between pat",genes involved in inflammation
3,10,0.5463887453079224,41613106,Fc-enhanced anti-CCR6 antibody elicits robust therapeutic effects across multiple autoimmune diseases.,"Fc-enhanced anti-CCR6 antibody elicits robust therapeutic effects across multiple autoimmune diseases.. Activation of the chemokine receptor CCR6 orchestrates the trafficking of IL-17-producing pathogenic immune cells to the sites of inflammation, thus contributing to the development of numerous inflammatory and autoimmune diseases. As such, CCR6 has emerged as a promising therapeutic target for t",genes involved in inflammation
4,127,0.532691240310669,41457766,Association Between Inflammatory Comorbidities and Hidradenitis Suppurativa Disease Characteristics: A Systematic Review and Meta-Analysis.,Association Between Inflammatory Comorbidities and Hidradenitis Suppurativa Disease Characteristics: A Systematic Review and Meta-Analysis..,genes involved in inflammation
5,98,0.528351902961731,41468944,Dissecting the genetic relationship between severe mental disorders and autoimmune diseases.,"Dissecting the genetic relationship between severe mental disorders and autoimmune diseases.. Severe mental disorders have been linked to immune system dysfunction. While a genetic association between mental disorders and autoimmune diseases has been suggested, their genetic relationship remains incompletely understood. Utilizing a complementary set of statistical analyses, we conducted a comprehe",genes involved in inflammation
1,208,0.7057530879974365,41408908,Cross Disease Single-Cell Meta-Analysis Deciphers Conserved Pan-Inflammatory Circuits and Divergent Endothelial Rewiring in Inflammatory Skin Pathogenesis.,"Cross Disease Single-Cell Meta-Analysis Deciphers Conserved Pan-Inflammatory Circuits and Divergent Endothelial Rewiring in Inflammatory Skin Pathogenesis.. Skin vascular endothelial cells (VECs) play a crucial role in regulating vascular function, orchestrating local immune responses, and contributing to the progression of immune-mediated inflammatory skin disorders. Despite their importance, the",immune signaling in skin disease
2,166,0.6988104581832886,41428266,Neuroimmune Crosstalk in Psoriasis: Mechanisms and Therapeutic Implications.,"Neuroimmune Crosstalk in Psoriasis: Mechanisms and Therapeutic Implications.. Psoriasis is a chronic, immune-mediated inflammatory skin disorder characterized by keratinocyte hyperproliferation, dermal vascular remodeling, and dense immune cell infiltration. While the conventional immunopathological model emphasizes the IL-23/Th17 axis and aberrant T-cell responses, growing evidence highlights the",immune signaling in skin disease
3,52,0.6925849914550781,41504035,hAD-MSCs Ameliorated Psoriasis-Like Skin Inflammation by Inhibiting the Neutrophil Migration.,"hAD-MSCs Ameliorated Psoriasis-Like Skin Inflammation by Inhibiting the Neutrophil Migration.. Psoriasis is a chronic inflammatory skin disease driven by an abnormal immune response. Mesenchymal stem cells have strong immunomodulatory properties. Therefore, we investigated the therapeutic effects and underlying mechanisms of human adipose-derived mesenchymal stem cells (hAD-MSCs) in a psoriasis-li",immune signaling in skin disease
4,131,0.6665058135986328,41453833,Dermatology 2.0: Precision medicine for inflammatory skin diseases.,"Dermatology 2.0: Precision medicine for inflammatory skin diseases.. Recent advances in immunology and transcriptomics have transformed dermatology, redefining inflammatory skin diseases as distinct molecular entities characterized by dominant immune pathways such as Th17, Th2, Th1, type I interferon (IFN) and myeloid modules. We transcriptionally delineated these immune modules, constructed a ref",immune signaling in skin disease
5,112,0.6463056802749634,41465136,From Skin to Brain: Key Genetic Mediators Associating Cutaneous Inflammation and Neurodegenerative Diseases.,"From Skin to Brain: Key Genetic Mediators Associating Cutaneous Inflammation and Neurodegenerative Diseases.. Chronic inflammatory skin diseases and neurodegenerative disorders share overlapping genetic, immunologic, and metabolic pathways that may predispose individuals to cognitive decline. This review synthesizes current human genomic, transcriptomic, and bioinformatic evidence linking psoriasi",immune signaling in skin disease
1,123,0.5425425171852112,41458718,New-Onset Guttate Psoriasis Induced by Durvalumab: Potential Role of Bisoprolol.,"New-Onset Guttate Psoriasis Induced by Durvalumab: Potential Role of Bisoprolol.. Durvalumab is an immune checkpoint inhibitor targeting programmed death-ligand 1 (PD-L1), used in the treatment of various advanced cancers. Immune checkpoint inhibitors are associated with immune-related adverse events, mainly affecting the skin and digestive system. Immune-mediated psoriasis has been observed in pa",drug response in cancer progression
2,182,0.5418424010276794,41419137,"Cancer progression, recurrence, and infection outcomes in psoriasis patients with active or recent malignancy treated with biologic therapy: A cohort study showing comparable safety to conventional agents.","Cancer progression, recurrence, and infection outcomes in psoriasis patients with active or recent malignancy treated with biologic therapy: A cohort study showing comparable safety to conventional agents.. Limited data exist on the safety of biologic agents in psoriasis patients with cancer, leading guidelines to recommend against their use within 5 years of cancer history. To evaluate the safety",drug response in cancer progression
3,66,0.5065080523490906,41482262,Survival of Interleukin-17 and Interleukin-23 Inhibitors in Patients Previously Treated With a Tumor Necrosis Factor Inhibitor: Analysis of the Spanish Biobadaderm Registry.,"Survival of Interleukin-17 and Interleukin-23 Inhibitors in Patients Previously Treated With a Tumor Necrosis Factor Inhibitor: Analysis of the Spanish Biobadaderm Registry.. Interleukin 12/23 inhibitors (IL12/23i) and interleukin 17 and 23 inhibitors (IL17i and IL23i) represent the drug classes with the most favorable expectations for therapeutic response. However, the introduction of biosimilars",drug response in cancer progression
4,86,0.4907532334327698,41473417,Exploration of Targets Potentially Linked to IL-17A Inhibitor Response in Psoriasis Using Machine Learning.,"Exploration of Targets Potentially Linked to IL-17A Inhibitor Response in Psoriasis Using Machine Learning.. This study aimed to elucidate IL-17 inhibitors' mechanisms in psoriasis, offering a theoretical basis for tackling clinical issues like treatment resistance and relapse. Datasets GSE226244 and GSE31652 served as the training set, and GSE201827 served as the testing set. Differential hub gen",drug response in cancer progression
5,183,0.4858477711677551,41419128,"SYHX1901, an oral dual Janus kinase and spleen tyrosine kinase inhibitor, for moderate-to-severe plaque psoriasis: A randomized phase 2 trial.","SYHX1901, an oral dual Janus kinase and spleen tyrosine kinase inhibitor, for moderate-to-severe plaque psoriasis: A randomized phase 2 trial..",drug response in cancer progression
1,96,0.5747275948524475,41469479,The metabolomic profile of psoriatic arthritis patients unveils the unbalance of disease-related molecules and pathways.,"The metabolomic profile of psoriatic arthritis patients unveils the unbalance of disease-related molecules and pathways.. Among the unmet needs in psoriatic arthritis (PsA), the precise mechanisms underlying the contribution of genetic susceptibility, environmental triggers and systemic inflammation are still under investigation. As a complex and multi-factorial condition, metabolomics in PsA may ",protein expression changes in diseased tissue
2,211,0.5518498420715332,41408331,Human urine-derived stem cells alleviate psoriasis by suppressing JAK2/STAT3 pathway-mediated macrophage polarization.,"Human urine-derived stem cells alleviate psoriasis by suppressing JAK2/STAT3 pathway-mediated macrophage polarization.. Psoriasis is a chronic skin disease featured with aberrant keratinocyte proliferation, inflammatory cell infiltration, and immune dysregulated. Although the imbalance of M1/M2 macrophage polarization is implicated in its pathogenesis, the underlying mechanisms remain unclear. Mes",protein expression changes in diseased tissue
3,25,0.5392354726791382,41594593,Protein S-Palmitoylation as Potential Therapeutic Target for Dermatoses.,Protein S-Palmitoylation as Potential Therapeutic Target for Dermatoses.. Protein S-palmitoylation is a pivotal yet poorly integrated research field in dermatology. This reversible post-translational lipid modification primarily occurs on cysteine residues and is principally catalyzed by zinc finger and Asp-His-His-Cys DHHC-domain containing proteins (zDHHCs). The S-palmitoylation/depalmitoylation,protein expression changes in diseased tissue
4,142,0.5281387567520142,41445854,Unsaturated Fatty Acid Metabolic Reprogramming in Psoriatic Skin Drives Inflammation and Predicts Response to Biologic Therapy.,"Unsaturated Fatty Acid Metabolic Reprogramming in Psoriatic Skin Drives Inflammation and Predicts Response to Biologic Therapy.. Psoriasis is frequently associated with dyslipidemia, yet the role of specific unsaturated fatty acid (UFA) metabolic pathways in disease pathogenesis and treatment response remains poorly understood. This study aimed to characterize the landscape of UFA metabolic reprog",protein expression changes in diseased tissue
5,162,0.5237512588500977,41432271,Potential Significance of CCL17 in Psoriatic Arthritis.,Potential Significance of CCL17 in Psoriatic Arthritis..,protein expression changes in diseased tissue
